83,Chris Bosh,C,29,MIA,49,49,31.6,6.4,12.1,.529,0.8,2.2,.358,5.6,9.9,.566,3.0,3.7,.809,1.4,5.4,6.8,1.1,0.8,0.9,1.4,2.5,16.6
84,Ricky Rubio,PG,23,MIN,52,52,31.5,2.9,8.0,.356,0.6,1.7,.344,2.3,6.3,.360,2.5,3.0,.835,0.8,3.8,4.6,8.3,2.5,0.2,2.7,2.6,8.9
85,Brook Lopez,C,25,BRK,17,17,31.4,7.6,13.5,.563,0.0,0.1,.000,7.6,13.4,.566,5.5,6.8,.817,2.3,3.7,6.0,0.9,0.5,1.8,1.6,3.1,20.7
86,Shawn Marion,SF,35,DAL,47,47,31.4,4.5,9.6,.470,0.8,2.2,.371,3.7,7.4,.500,0.9,1.1,.808,1.6,5.2,6.8,1.7,1.2,0.6,1.3,1.7,10.8
87,Jose Calderon,SG,32,DAL,52,52,31.4,4.3,9.6,.452,2.5,5.5,.449,1.9,4.1,.455,0.7,0.8,.829,0.4,1.9,2.3,4.8,1.0,0.1,1.2,1.8,11.8
88,Spencer Hawes,C,25,PHI,51,51,31.4,5.0,11.1,.456,1.5,3.8,.403,3.5,7.2,.484,1.5,1.9,.778,1.7,6.9,8.5,3.3,0.6,1.2,2.3,2.9,13.1
89,DeMarre Carroll,SF,27,ATL,46,46,31.2,3.9,8.3,.474,1.2,3.4,.368,2.7,4.9,.547,1.4,1.8,.762,1.4,4.1,5.5,1.9,1.5,0.3,0.9,2.5,10.5
90,Wilson Chandler,SF,26,DEN,42,38,31.2,5.2,12.3,.421,2.1,5.8,.355,3.1,6.5,.480,2.0,2.8,.735,1.0,3.7,4.8,1.8,0.8,0.6,1.1,3.0,14.5
91,George Hill,PG,27,IND,48,48,31.2,3.8,8.5,.451,1.4,3.6,.371,2.5,4.8,.511,2.1,2.5,.839,0.7,3.2,3.9,3.5,1.0,0.3,1.3,2.1,11.0
92,Robin Lopez,C,25,POR,52,52,31.2,4.2,7.9,.538,0.0,0.0,.000,4.2,7.8,.539,2.3,2.8,.791,4.0,4.5,8.4,0.8,0.4,1.6,1.1,2.4,10.7
93,Derrick Rose,PG,25,CHI,10,10,31.1,5.8,16.4,.354,1.6,4.7,.340,4.2,11.7,.359,2.7,3.2,.844,0.9,2.3,3.2,4.3,0.5,0.1,3.4,1.5,15.9
94,Glen Davis,PF,28,ORL,42,40,31.1,5.4,11.7,.456,0.1,0.2,.400,5.3,11.5,.458,1.8,2.7,.675,2.0,4.6,6.6,1.6,1.0,0.5,1.4,2.5,12.6
95,Derrick Favors,PF,22,UTA,45,45,31.0,5.2,10.4,.506,0.0,0.0,.000,5.2,10.3,.508,2.7,4.0,.667,2.8,6.4,9.2,1.1,1.0,1.4,1.9,3.2,13.2
96,Jeremy Lin,PG,25,HOU,42,24,30.9,4.4,9.5,.461,1.1,3.2,.333,3.3,6.3,.526,3.3,4.1,.805,0.3,2.3,2.6,4.5,1.0,0.5,2.6,2.3,13.2
97,Tony Parker,PG,31,SAS,47,47,30.9,7.0,14.0,.501,0.4,1.2,.375,6.6,12.8,.512,3.2,4.0,.800,0.2,2.1,2.3,6.2,0.5,0.1,2.4,1.3,17.7
98,Trey Burke,PG,21,UTA,39,37,30.8,4.7,12.8,.371,1.6,4.8,.339,3.1,8.0,.390,1.5,1.7,.908,0.5,2.6,3.1,5.6,0.6,0.1,1.9,2.0,12.6
99,Avery Bradley,PG,23,BOS,46,46,30.6,6.0,13.7,.434,1.0,2.9,.356,4.9,10.9,.454,1.4,1.9,.756,0.9,3.1,3.9,1.4,1.0,0.2,1.6,2.6,14.3
100,Deron Williams,PG,29,BRK,33,27,30.6,4.8,10.4,.461,1.4,3.5,.405,3.4,6.9,.489,2.3,3.0,.768,0.2,2.3,2.5,6.7,1.1,0.2,2.5,2.2,13.3
101,Roy Hibbert,C,27,IND,51,51,30.5,4.5,9.7,.466,0.0,0.1,.400,4.5,9.6,.466,2.9,3.8,.753,3.0,4.8,7.7,1.4,0.5,2.5,1.9,3.3,11.9
102,Jamal Crawford,SG,33,LAC,54,17,30.4,6.1,14.7,.416,2.3,6.2,.362,3.9,8.5,.456,3.9,4.6,.862,0.5,1.8,2.3,3.3,0.9,0.2,1.9,1.7,18.4
103,P.J. Tucker,SF,28,PHO,51,51,30.4,3.3,7.8,.424,0.9,2.3,.409,2.4,5.5,.431,1.9,2.5,.784,2.1,4.2,6.3,1.8,1.2,0.3,1.2,2.4,9.4
104,Josh McRoberts,PF,26,CHA,51,51,30.2,3.1,7.0,.435,1.3,3.4,.379,1.8,3.6,.486,0.6,0.9,.688,1.1,4.0,5.1,4.1,0.9,0.5,1.1,2.5,8.1
105,Anderson Varejao,C,31,CLE,48,29,30.2,3.6,7.6,.482,0.0,0.1,.000,3.6,7.5,.489,1.5,2.1,.696,3.1,7.1,10.3,2.6,1.1,0.8,1.1,2.5,8.8
106,Nene Hilario,PF,31,WAS,44,32,30.2,5.4,11.1,.485,0.0,0.1,.200,5.4,11.0,.488,3.1,5.0,.613,1.3,4.7,5.9,3.1,1.3,1.0,2.1,3.1,13.9
107,David West,PF,33,IND,51,51,30.1,5.7,11.6,.494,0.1,0.2,.273,5.7,11.4,.498,2.2,2.8,.771,1.4,5.2,6.6,2.8,0.8,0.9,1.7,2.3,13.7
108,Carlos Boozer,PF,32,CHI,45,45,29.9,6.2,13.8,.452,0.0,0.0,,6.2,13.8,.452,2.3,3.0,.769,2.0,6.6,8.6,1.6,0.8,0.4,2.4,2.9,14.8
109,Andrea Bargnani,C,28,NYK,42,39,29.9,5.3,12.0,.442,0.7,2.6,.278,4.6,9.4,.487,2.0,2.4,.824,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3
